INDID,CLASSID,CLASSDESC
60,A,Abrasive
60,B,Acidifier
60,C,Adrenergic
60,D,Adrenocortical Steroid
60,E,Adrenocortical Suppress
60,F,Adsorbant
60,G,Alcohol Deterrent
60,H,Aldosterone Antagon
60,I,Alkalizer
60,J,Ammonia Detox
60,K,Anabolic
60,L,Analgesic
60,M,Analgesic (Narc)
60,N,Androgen
60,O,Agonist
60,P,Anethesia Adjunct
60,Q,Anesthetic
60,R,Anorexic
60,S,Antacid
60,T,Antagonist
60,U,Anter Pituit Activ
60,V,Anter Pituit Suppress
60,W,Anthelmintic
60,X,A-Adrenergic
60,Y,Inhibitor (Growth Factor)
60,Z,Antiparasitic
